CODIGO;CODIGO_UPL;NOMBRE;PROMEDIO
1;UPL01;Sumapaz;952441.4
2;UPL02;Cuenca del Tunjuelo;863572.5
3;UPL03;Arborizadora;1344609.5
4;UPL04;Lucero;961802.2
5;UPL05;Usme - Entrenubes;1071917.8
6;UPL06;Cerros Orientales;1226515.6
7;UPL07;Torca;3837281.8
8;UPL08;Britalia;4150072.8
9;UPL09;Suba;2033563.4
10;UPL10;Tibabuyes;1287841.1
11;UPL11;Engativá;1925261.1
12;UPL12;Fontibón;1639674.3
13;UPL13;Tintal;2265017.1
14;UPL14;Patio Bonito;1088432.5
15;UPL15;Porvenir;1170109.6
16;UPL16;Edén;1201439.1
17;UPL17;Bosa;1289664.5
18;UPL18;Kennedy;1842389.7
19;UPL19;Tunjuelito;1466316.6
20;UPL20;Rafael Uribe;1180324.4
21;UPL21;San Cristóbal;1281896.8
22;UPL22;Restrepo;1826277.8
23;UPL23;Centro Histórico;2430953.9
24;UPL24;Chapinero;6561352.3
25;UPL25;Usaquén;6294204
26;UPL26;Toberín;2472605.6
27;UPL27;Niza;4872083.6
28;UPL28;Rincón de Suba;1307243.4
29;UPL29;Tabora;1964816.8
30;UPL30;Salitre;4030042.9
31;UPL31;Puente Aranda;1839238.1
32;UPL32;Teusaquillo;4528830.4
33;UPL33;Barrios Unidos;2712835
