CODIGO;CODIGO_UPL;NOMBRE;PROMEDIO
01;UPL01;Sumapaz;37.8
02;UPL02;Cuenca del Tunjuelo;32.5
03;UPL03;Arborizadora;29.3
04;UPL04;Lucero;28.8
05;UPL05;Usme - Entrenubes;27.2
06;UPL06;Cerros Orientales;40.0
07;UPL07;Torca;36.2
08;UPL08;Britalia;41.1
09;UPL09;Suba;33.3
10;UPL10;Tibabuyes;32.2
11;UPL11;Engativá;33.8
12;UPL12;Fontibón;30.1
13;UPL13;Tintal;42.2
14;UPL14;Patio Bonito;32.4
15;UPL15;Porvenir;35.7
16;UPL16;Edén;30.0
17;UPL17;Bosa;25.3
18;UPL18;Kennedy;31.6
19;UPL19;Tunjuelito;25.1
20;UPL20;Rafael Uribe;26.1
21;UPL21;San Cristóbal;26.0
22;UPL22;Restrepo;26.0
23;UPL23;Centro Histórico;23.9
24;UPL24;Chapinero;35.3
25;UPL25;Usaquén;41.5
26;UPL26;Toberín;32.2
27;UPL27;Niza;41.8
28;UPL28;Rincón de Suba;27.5
29;UPL29;Tabora;29.6
30;UPL30;Salitre;39.3
31;UPL31;Puente Aranda;25.6
32;UPL32;Teusaquillo;32.7
33;UPL33;Barrios Unidos;27.2
