CODIGO;CODIGO_UPL;NOMBRE;PROMEDIO
01;UPL01;Sumapaz;32.1
02;UPL02;Cuenca del Tunjuelo;44.2
03;UPL03;Arborizadora;54.2
04;UPL04;Lucero;60.7
05;UPL05;Usme - Entrenubes;67.3
06;UPL06;Cerros Orientales;46.5
07;UPL07;Torca;38.0
08;UPL08;Britalia;45.4
09;UPL09;Suba;48.0
10;UPL10;Tibabuyes;52.3
11;UPL11;Engativá;45.3
12;UPL12;Fontibón;40.3
13;UPL13;Tintal;49.8
14;UPL14;Patio Bonito;48.8
15;UPL15;Porvenir;68.8
16;UPL16;Edén;51.0
17;UPL17;Bosa;49.0
18;UPL18;Kennedy;43.4
19;UPL19;Tunjuelito;40.4
20;UPL20;Rafael Uribe;54.9
21;UPL21;San Cristóbal;51.0
22;UPL22;Restrepo;35.1
23;UPL23;Centro Histórico;30.9
24;UPL24;Chapinero;38.1
25;UPL25;Usaquén;39.3
26;UPL26;Toberín;41.5
27;UPL27;Niza;37.3
28;UPL28;Rincón de Suba;42.3
29;UPL29;Tabora;37.9
30;UPL30;Salitre;39.2
31;UPL31;Puente Aranda;33.5
32;UPL32;Teusaquillo;30.4
33;UPL33;Barrios Unidos;29.4
