CODIGO;CODIGO_UPL;NOMBRE;PORCENTAJE_NINGUNO;PORCENTAJE_PREESCOLAR;PORCENTAJE_PRIMARIA;PORCENTAJE_SECUNDARIA;PORCENTAJE_MEDIA;PORCENTAJE_TECNICO;PORCENTAJE_TECNOLOGO;PORCENTAJE_UNIVERSITARIO_INCOMPLETO;PORCENTAJE_UNIVERSITARIO_COMPLETO
1;UPL01;Sumapaz;4.9;1.1;39.5;9.7;36.4;4.1;0.6;0.5;2.0
2;UPL02;Cuenca del Tunjuelo;3.8;0.3;38.3;17.9;31.2;5.0;1.9;0.4;1.0
3;UPL03;Arborizadora;2.3;0.3;19.4;13.9;36.5;10.5;4.5;2.2;8.3
4;UPL04;Lucero;4.6;0.6;27.0;17.3;38.0;7.2;2.1;1.0;2.1
5;UPL05;Usme - Entrenubes;3.6;0.3;24.5;14.8;40.3;8.4;3.0;1.3;3.6
6;UPL06;Cerros Orientales;3.2;0.5;20.4;14.7;36.3;10.4;2.2;1.5;8.5
7;UPL07;Torca;1.3;0.0;15.1;11.5;24.7;8.0;2.8;3.1;20.5
8;UPL08;Britalia;0.9;0.2;4.3;3.6;14.5;7.6;4.7;3.6;37.1
9;UPL09;Suba;1.1;0.1;11.2;6.3;27.0;14.8;5.1;3.8;21.5
10;UPL10;Tibabuyes;1.6;0.5;17.6;10.5;40.7;11.7;4.1;2.2;9.8
11;UPL11;Engativá;1.1;0.1;12.4;8.6;29.7;12.1;6.0;2.9;21.0
12;UPL12;Fontibón;1.5;0.3;14.4;9.7;34.1;12.6;5.9;2.4;16.0
13;UPL13;Tintal;0.9;0.2;9.1;6.0;29.2;11.9;6.9;3.8;23.8
14;UPL14;Patio Bonito;2.6;0.4;20.7;15.3;40.4;8.7;3.6;1.4;6.1
15;UPL15;Porvenir;1.8;0.1;18.6;12.3;41.8;12.6;4.8;1.9;5.4
16;UPL16;Edén;2.2;0.1;22.1;12.3;38.5;10.1;4.3;1.9;7.7
17;UPL17;Bosa;2.2;0.1;20.0;11.8;39.6;11.2;4.1;1.7;8.7
18;UPL18;Kennedy;1.1;0.2;13.1;9.3;29.2;13.0;6.2;4.2;18.3
19;UPL19;Tunjuelito;1.4;0.1;15.0;12.3;35.7;11.7;4.7;2.9;12.7
20;UPL20;Rafael Uribe;2.7;0.3;22.3;14.0;37.9;10.5;4.1;1.5;6.1
21;UPL21;San Cristóbal;2.4;0.2;20.4;12.4;35.5;12.2;4.3;2.2;8.6
22;UPL22;Restrepo;1.5;0.2;14.3;10.4;30.8;11.9;5.6;3.6;15.7
23;UPL23;Centro Histórico;2.2;0.2;14.5;12.1;31.2;8.9;3.5;2.6;16.2
24;UPL24;Chapinero;0.3;0.1;2.6;2.4;10.5;5.1;4.0;3.1;38.0
25;UPL25;Usaquén;0.4;0.0;1.7;1.9;8.4;4.4;2.5;2.5;46.1
26;UPL26;Toberín;1.5;0.3;11.8;7.0;28.1;10.3;3.6;3.0;26.5
27;UPL27;Niza;0.7;0.0;5.0;4.1;12.8;6.6;3.4;3.6;35.3
28;UPL28;Rincón de Suba;2.5;0.3;13.5;10.4;36.6;13.7;4.8;2.1;13.8
29;UPL29;Tabora;1.3;0.2;11.9;8.8;28.7;12.8;5.7;3.2;21.0
30;UPL30;Salitre;0.5;0.1;4.3;2.8;15.0;7.9;4.4;2.6;39.9
31;UPL31;Puente Aranda;1.2;0.1;12.3;8.8;30.8;11.8;5.1;4.0;20.5
32;UPL32;Teusaquillo;0.5;0.1;3.2;3.0;11.4;6.6;4.6;2.9;38.8
33;UPL33;Barrios Unidos;0.9;0.1;8.7;6.6;23.3;10.4;4.5;2.8;30.1
