CODIGO;CODIGO_UPL;NOMBRE;TOTAL_HOMBRE;TOTAL_MUJER;TOTAL_INTERSEXUAL;PORCENTAJE_HOMBRE;PORCENTAJE_MUJER;PORCENTAJE_INTERSEXUAL
01;UPL01;Sumapaz;1860.6;1721.6;1.8;51.9;48.0;0.1
02;UPL02;Cuenca del Tunjuelo;13290.8;12803.2;3.8;50.9;49.1;0.0
03;UPL03;Arborizadora;209341.0;214371.1;41.4;49.4;50.6;0.0
04;UPL04;Lucero;112952.5;113058.1;0.0;50.0;50.0;0.0
05;UPL05;Usme - Entrenubes;133759.9;138081.0;27.1;49.2;50.8;0.0
06;UPL06;Cerros Orientales;17965.9;18477.1;4.2;49.3;50.7;0.0
07;UPL07;Torca;6112.2;6480.1;0.0;48.5;51.5;0.0
08;UPL08;Britalia;124888.2;145685.4;144.7;46.1;53.8;0.1
09;UPL09;Suba;84957.0;96302.4;118.6;46.8;53.1;0.1
10;UPL10;Tibabuyes;143748.0;153354.0;0.0;48.4;51.6;0.0
11;UPL11;Engativá;187574.2;208955.8;0.0;47.3;52.7;0.0
12;UPL12;Fontibón;115951.6;129818.2;76.3;47.2;52.8;0.0
13;UPL13;Tintal;127072.7;140835.2;0.0;47.4;52.6;0.0
14;UPL14;Patio Bonito;133865.3;136487.1;62.7;49.5;50.5;0.0
15;UPL15;Porvenir;125271.8;136218.6;0.0;47.9;52.1;0.0
16;UPL16;Edén;141458.4;147202.8;0.0;49.0;51.0;0.0
17;UPL17;Bosa;171509.6;181055.6;12.4;48.6;51.4;0.0
18;UPL18;Kennedy;152200.9;165317.3;33.4;47.9;52.1;0.0
19;UPL19;Tunjuelito;80548.7;83460.5;96.2;49.1;50.9;0.1
20;UPL20;Rafael Uribe;216952.3;220114.7;19.3;49.6;50.4;0.0
21;UPL21;San Cristóbal;154977.9;166863.9;142.4;48.1;51.8;0.0
22;UPL22;Restrepo;105484.5;117216.2;181.6;47.3;52.6;0.1
23;UPL23;Centro Histórico;100885.5;113288.5;73.0;47.1;52.9;0.0
24;UPL24;Chapinero;69442.8;76011.5;22.4;47.7;52.2;0.0
25;UPL25;Usaquén;121982.1;148888.6;173.0;45.0;54.9;0.1
26;UPL26;Toberín;134428.7;153016.0;186.8;46.7;53.2;0.1
27;UPL27;Niza;98355.1;117363.5;0.0;45.6;54.4;0.0
28;UPL28;Rincón de Suba;138576.0;150218.3;189.7;48.0;52.0;0.1
29;UPL29;Tabora;178798.1;198150.3;203.8;47.4;52.5;0.1
30;UPL30;Salitre;88344.4;101972.5;51.7;46.4;53.6;0.0
31;UPL31;Puente Aranda;121432.4;132557.6;0.0;47.8;52.2;0.0
32;UPL32;Teusaquillo;72546.0;95795.5;58.5;43.1;56.9;0.0
33;UPL33;Barrios Unidos;72031.5;75798.1;22.9;48.7;51.3;0.0
