CODIGO;CODIGO_UPL;NOMBRE;TOTAL_SI;TOTAL_NO;PORCENTAJE_SI;PORCENTAJE_NO
1;UPL01;Sumapaz;3197.8;167.8;95;5
2;UPL02;Cuenca del Tunjuelo;22541.6;1177.9;95;5
3;UPL03;Arborizadora;382819.8;11295.3;97.1;2.9
4;UPL04;Lucero;199711.2;8773.2;95.8;4.2
5;UPL05;Usme - Entrenubes;242796.9;10679.8;95.8;4.2
6;UPL06;Cerros Orientales;32077.5;1469.3;95.6;4.4
7;UPL07;Torca;11568.5;372.4;96.9;3.1
8;UPL08;Britalia;256541.6;2764.9;98.9;1.1
9;UPL09;Suba;171949;1691.7;99;1
10;UPL10;Tibabuyes;273836.3;3575.3;98.7;1.3
11;UPL11;Engativá;373795.5;5921.2;98.4;1.6
12;UPL12;Fontibón;228934.8;4288;98.2;1.8
13;UPL13;Tintal;253757.2;2473.9;99;1
14;UPL14;Patio Bonito;244949.8;7389.8;97.1;2.9
15;UPL15;Porvenir;239321.2;6466.2;97.4;2.6
16;UPL16;Edén;264115.5;6656.1;97.5;2.5
17;UPL17;Bosa;326732.6;6954.6;97.9;2.1
18;UPL18;Kennedy;300202.1;4618.9;98.5;1.5
19;UPL19;Tunjuelito;152181.8;2958.4;98.1;1.9
20;UPL20;Rafael Uribe;395978.5;14538.8;96.5;3.5
21;UPL21;San Cristóbal;295670.6;8746;97.1;2.9
22;UPL22;Restrepo;207402.4;4419.4;97.9;2.1
23;UPL23;Centro Histórico;198049.5;4863.1;97.6;2.4
24;UPL24;Chapinero;139438.3;927.7;99.3;0.7
25;UPL25;Usaquén;258392.7;2661.7;99;1
26;UPL26;Toberín;267097.5;5314.2;98;2
27;UPL27;Niza;206695.5;2370.1;98.9;1.1
28;UPL28;Rincón de Suba;263906.8;6535.4;97.6;2.4
29;UPL29;Tabora;356088.2;5838.3;98.4;1.6
30;UPL30;Salitre;182987.3;1044.3;99.4;0.6
31;UPL31;Puente Aranda;241482.2;2679.7;98.9;1.1
32;UPL32;Teusaquillo;162151.8;1298;99.2;0.8
33;UPL33;Barrios Unidos;140122.3;1724.8;98.8;1.2
