CODIGO;CODIGO_UPL;NOMBRE;PROMEDIO
01;UPL01;Sumapaz;34.5
02;UPL02;Cuenca del Tunjuelo;29.0
03;UPL03;Arborizadora;32.0
04;UPL04;Lucero;30.8
05;UPL05;Usme - Entrenubes;31.4
06;UPL06;Cerros Orientales;30.8
07;UPL07;Torca;32.8
08;UPL08;Britalia;38.6
09;UPL09;Suba;35.6
10;UPL10;Tibabuyes;32.3
11;UPL11;Engativá;36.2
12;UPL12;Fontibón;35.3
13;UPL13;Tintal;35.6
14;UPL14;Patio Bonito;31.6
15;UPL15;Porvenir;31.0
16;UPL16;Edén;32.4
17;UPL17;Bosa;35.1
18;UPL18;Kennedy;37.5
19;UPL19;Tunjuelito;35.4
20;UPL20;Rafael Uribe;32.8
21;UPL21;San Cristóbal;34.4
22;UPL22;Restrepo;36.8
23;UPL23;Centro Histórico;35.0
24;UPL24;Chapinero;39.2
25;UPL25;Usaquén;42.4
26;UPL26;Toberín;35.3
27;UPL27;Niza;42.0
28;UPL28;Rincón de Suba;34.3
29;UPL29;Tabora;38.3
30;UPL30;Salitre;39.3
31;UPL31;Puente Aranda;38.4
32;UPL32;Teusaquillo;40.6
33;UPL33;Barrios Unidos;38.5
