CODIGO;CODIGO_UPL;NOMBRE;PROMEDIO
1;UPL01;Sumapaz;3.2
2;UPL02;Cuenca del Tunjuelo;3.3
3;UPL03;Arborizadora;3.2
4;UPL04;Lucero;3
5;UPL05;Usme - Entrenubes;3
6;UPL06;Cerros Orientales;3
7;UPL07;Torca;3.3
8;UPL08;Britalia;2.6
9;UPL09;Suba;2.8
10;UPL10;Tibabuyes;3.2
11;UPL11;Engativá;2.8
12;UPL12;Fontibón;2.8
13;UPL13;Tintal;2.6
14;UPL14;Patio Bonito;3.1
15;UPL15;Porvenir;3.1
16;UPL16;Edén;3.1
17;UPL17;Bosa;2.9
18;UPL18;Kennedy;2.8
19;UPL19;Tunjuelito;2.5
20;UPL20;Rafael Uribe;3
21;UPL21;San Cristóbal;3
22;UPL22;Restrepo;2.7
23;UPL23;Centro Histórico;2.6
24;UPL24;Chapinero;2.2
25;UPL25;Usaquén;2.2
26;UPL26;Toberín;2.8
27;UPL27;Niza;2.5
28;UPL28;Rincón de Suba;2.9
29;UPL29;Tabora;2.7
30;UPL30;Salitre;2.5
31;UPL31;Puente Aranda;2.8
32;UPL32;Teusaquillo;2.2
33;UPL33;Barrios Unidos;2.6
