CODIGO;CODIGO_UPL;NOMBRE;PROMEDIO
1;UPL01;Sumapaz;8.5
2;UPL02;Cuenca del Tunjuelo;7.6
3;UPL03;Arborizadora;7
4;UPL04;Lucero;6.5
5;UPL05;Usme - Entrenubes;6.8
6;UPL06;Cerros Orientales;7.3
7;UPL07;Torca;7.8
8;UPL08;Britalia;8
9;UPL09;Suba;7.5
10;UPL10;Tibabuyes;7.2
11;UPL11;Engativá;7.5
12;UPL12;Fontibón;7.6
13;UPL13;Tintal;7.7
14;UPL14;Patio Bonito;6.7
15;UPL15;Porvenir;7.1
16;UPL16;Edén;6.8
17;UPL17;Bosa;6.9
18;UPL18;Kennedy;7.6
19;UPL19;Tunjuelito;6.8
20;UPL20;Rafael Uribe;6.8
21;UPL21;San Cristóbal;7
22;UPL22;Restrepo;7.4
23;UPL23;Centro Histórico;6.8
24;UPL24;Chapinero;8.2
25;UPL25;Usaquén;8.3
26;UPL26;Toberín;7.7
27;UPL27;Niza;8.2
28;UPL28;Rincón de Suba;7
29;UPL29;Tabora;7.5
30;UPL30;Salitre;8
31;UPL31;Puente Aranda;7.6
32;UPL32;Teusaquillo;8.1
33;UPL33;Barrios Unidos;7.8
