CODIGO;CODIGO_UPL;NOMBRE;PROMEDIO
01;UPL01;Sumapaz;6.8
02;UPL02;Cuenca del Tunjuelo;5.2
03;UPL03;Arborizadora;5.1
04;UPL04;Lucero;5.0
05;UPL05;Usme - Entrenubes;5.3
06;UPL06;Cerros Orientales;5.5
07;UPL07;Torca;6.3
08;UPL08;Britalia;6.7
09;UPL09;Suba;5.3
10;UPL10;Tibabuyes;5.2
11;UPL11;Engativá;6.0
12;UPL12;Fontibón;5.8
13;UPL13;Tintal;5.9
14;UPL14;Patio Bonito;4.8
15;UPL15;Porvenir;5.0
16;UPL16;Edén;4.9
17;UPL17;Bosa;5.4
18;UPL18;Kennedy;5.9
19;UPL19;Tunjuelito;5.3
20;UPL20;Rafael Uribe;5.3
21;UPL21;San Cristóbal;4.8
22;UPL22;Restrepo;5.6
23;UPL23;Centro Histórico;5.6
24;UPL24;Chapinero;7.4
25;UPL25;Usaquén;7.7
26;UPL26;Toberín;6.2
27;UPL27;Niza;6.8
28;UPL28;Rincón de Suba;5.6
29;UPL29;Tabora;6.1
30;UPL30;Salitre;7.1
31;UPL31;Puente Aranda;6.1
32;UPL32;Teusaquillo;7.2
33;UPL33;Barrios Unidos;6.2
